Channel,Group,Source,Link
IPTV1+,special,,http://[2409:8087:1020:301:2026::17]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225709/index.m3u8?fmt=ts2hls
IPTV5+,special,,http://[2409:8087:1050:301:2026::11]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225782/index.m3u8?fmt=ts2hls
IPTV10+,special,,http://[2409:8087:1050:301:2026::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225722/index.m3u8?fmt=ts2hls
IPTV10+,special,,http://[2409:8087:1020:301:2026::2a]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225711/index.m3u8?fmt=ts2hls
IPTV12+,special,,http://[2409:8087:1020:301:2026::2a]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225700/index.m3u8?fmt=ts2hls
IPTV14+,special,,http://[2409:8087:1020:301:2026::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225712/index.m3u8?fmt=ts2hls
IPTV14+,special,,http://[2409:8087:1020:301:2026::2e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225717/index.m3u8?fmt=ts2hls
中国教育1,special,,http://[2409:8087:1020:301:2026::2d]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225698/index.m3u8?fmt=ts2hls
中国教育2,special,,http://[2409:8087:1050:301:2026::11]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225850/index.m3u8?fmt=ts2hls
中国教育4,special,,http://[2409:8087:1070:301:2026::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225892/index.m3u8?fmt=ts2hls
东方卫视,weishi,,http://[2409:8087:1050:301:2026::11]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225641/index.m3u8?fmt=ts2hls
云南卫视,weishi,,http://[2409:8087:1050:301:2026::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225642/index.m3u8?fmt=ts2hls
北京卫视,weishi,,http://[2409:8087:1050:301:2026::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225654/index.m3u8?fmt=ts2hls
天津卫视,weishi,,http://[2409:8087:1070:301:2026::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225634/index.m3u8?fmt=ts2hls
宁夏卫视,weishi,,http://[2409:8087:1020:301:2026::27]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225638/index.m3u8?fmt=ts2hls
安徽卫视,weishi,,http://[2409:8087:1050:301:2026::11]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225651/index.m3u8?fmt=ts2hls
山东卫视,weishi,,http://[2409:8087:1070:301:2026::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225631/index.m3u8?fmt=ts2hls
山西卫视,weishi,,http://[2409:8087:1020:301:2026::18]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225629/index.m3u8?fmt=ts2hls
广东卫视,weishi,,http://[2409:8087:1050:301:2026::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225635/index.m3u8?fmt=ts2hls
广西卫视,weishi,,http://[2409:8087:1070:301:2026::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225645/index.m3u8?fmt=ts2hls
新疆卫视,weishi,,http://[2409:8087:1050:301:2026::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225630/index.m3u8?fmt=ts2hls
江苏卫视,weishi,,http://[2409:8087:1070:301:2026::25]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225657/index.m3u8?fmt=ts2hls
江西卫视,weishi,,http://[2409:8087:1070:301:2026::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225652/index.m3u8?fmt=ts2hls
河北卫视,weishi,,http://[2409:8087:1070:301:2026::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225648/index.m3u8?fmt=ts2hls
河南卫视,weishi,,http://[2409:8087:1070:301:2026::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225636/index.m3u8?fmt=ts2hls
浙江卫视,weishi,,http://[2409:8087:1020:301:2026::16]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225656/index.m3u8?fmt=ts2hls
海南卫视,weishi,,http://[2409:8087:1070:301:2026::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225644/index.m3u8?fmt=ts2hls
深圳卫视,weishi,,http://[2409:8087:1050:301:2026::11]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225646/index.m3u8?fmt=ts2hls
湖南卫视,weishi,,http://[2409:8087:1070:301:2026::25]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225659/index.m3u8?fmt=ts2hls
甘肃卫视,weishi,,http://[2409:8087:1050:301:2026::11]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225632/index.m3u8?fmt=ts2hls
西藏卫视,weishi,,http://[2409:8087:1050:301:2026::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225627/index.m3u8?fmt=ts2hls
贵州卫视,weishi,,http://[2409:8087:1070:301:2026::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225640/index.m3u8?fmt=ts2hls
辽宁卫视,weishi,,http://[2409:8087:1050:301:2026::11]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225639/index.m3u8?fmt=ts2hls
陕西卫视,weishi,,http://[2409:8087:1050:301:2026::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225637/index.m3u8?fmt=ts2hls
青海卫视,weishi,,http://[2409:8087:1070:301:2026::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225628/index.m3u8?fmt=ts2hls
黑龙江卫视,weishi,,http://[2409:8087:1050:301:2026::11]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225650/index.m3u8?fmt=ts2hls
山东教育卫视,weishi,,http://[2409:8087:1020:301:2026::2a]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225773/index.m3u8?fmt=ts2hls
新疆兵团卫视,weishi,,http://[2409:8087:1050:301:2026::14]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225626/index.m3u8?fmt=ts2hls
