Channel,Group,Source,Link
NewTV惊悚悬疑,special,,http://223.110.235.25/ott.js.chinamobile.com/PLTV/3/224/3221227536/index.m3u8
NewTV武搏世界,special,,http://223.110.235.25/ott.js.chinamobile.com/PLTV/3/224/3221227533/index.m3u8
NewTV炫舞未来,special,,http://183.207.249.229/ott.js.chinamobile.com/PLTV/3/224/3221227475/index.m3u8
NewTV爱情喜剧,special,,http://223.110.236.20/ott.js.chinamobile.com/PLTV/3/224/3221227548/index.m3u8
NewTV精品体育,special,,http://223.110.235.27/ott.js.chinamobile.com/PLTV/3/224/3221227615/index.m3u8
NewTV精品大剧,special,,http://223.110.235.26/ott.js.chinamobile.com/PLTV/3/224/3221227618/index.m3u8
NewTV精品纪录,special,,http://223.110.236.20/ott.js.chinamobile.com/PLTV/3/224/3221227547/index.m3u8
NewTV金牌综艺,special,,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221227541/index.m3u8
NewTV明星大片,special,,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221227594/index.m3u8
黑莓动画,special,,http://223.110.235.21/ott.js.chinamobile.com/PLTV/3/224/3221225555/index.m3u8
黑莓动画,special,,http://223.110.236.7/ott.js.chinamobile.com/PLTV/3/224/3221227523/index.m3u8
黑莓电影,special,,http://183.207.249.143/ott.js.chinamobile.com/PLTV/3/224/3221227520/index.m3u8
黑莓电影,special,,http://223.110.236.17/ott.js.chinamobile.com/PLTV/3/224/3221225567/index.m3u8
江西陶瓷,special,,http://223.110.236.13/ott.js.chinamobile.com/PLTV/3/224/3221227768/index.m3u8
上海纪实人文,special,,http://223.110.235.10/ott.js.chinamobile.com/PLTV/3/224/3221227674/index.m3u8
上海纪实人文,special,,http://223.110.235.18/ott.js.chinamobile.com/PLTV/3/224/3221227635/index.m3u8
北京冬奥纪实,special,,http://223.110.236.24/ott.js.chinamobile.com/PLTV/3/224/3221227711/index.m3u8
北京冬奥纪实,special,,http://183.207.249.208/ott.js.chinamobile.com/PLTV/3/224/3221227699/index.m3u8
未知,special,,http://183.207.248.111/ott.js.chinamobile.com/PLTV/3/224/3221227512/index.m3u8
未知,special,,http://223.110.236.16/ott.js.chinamobile.com/PLTV/3/224/3221227579/index.m3u8
南京信息,special,,http://223.110.235.17/ott.js.chinamobile.com/PLTV/3/224/3221227730/index.m3u8
南京娱乐,special,,http://183.207.249.143/ott.js.chinamobile.com/PLTV/3/224/3221227722/index.m3u8
南京新闻综合,special,,http://183.207.249.137/ott.js.chinamobile.com/PLTV/3/224/3221227213/index.m3u8
泰州1,special,,http://223.110.235.25/ott.js.chinamobile.com/PLTV/3/224/3221228209/index.m3u8
泰州2,special,,http://223.110.236.26/ott.js.chinamobile.com/PLTV/3/224/3221228212/index.m3u8
泰州3,special,,http://223.110.235.20/ott.js.chinamobile.com/PLTV/3/224/3221228100/index.m3u8
高淳新闻,special,,http://183.207.249.237/ott.js.chinamobile.com/PLTV/3/224/3221227870/index.m3u8
仪化有线,special,,http://223.110.236.11/ott.js.chinamobile.com/PLTV/3/224/3221227702/index.m3u8
宝应新闻综合,special,,http://223.110.235.10/ott.js.chinamobile.com/PLTV/3/224/3221228007/index.m3u8
宝应生活资讯,special,,http://223.110.235.18/ott.js.chinamobile.com/PLTV/3/224/3221228039/index.m3u8
常州公共,special,,http://183.207.249.176/ott.js.chinamobile.com/PLTV/3/224/3221227905/index.m3u8
常州新闻综合,special,,http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227899/index.m3u8
常州生活,special,,http://183.207.249.237/ott.js.chinamobile.com/PLTV/3/224/3221227902/index.m3u8
常州都市,special,,http://223.110.235.19/ott.js.chinamobile.com/PLTV/3/224/3221227955/index.m3u8
常州公共,special,,http://223.110.235.18/ott.js.chinamobile.com/PLTV/3/224/3221227772/index.m3u8
常州新闻综合,special,,http://183.207.248.168/ott.js.chinamobile.com/PLTV/3/224/3221227752/index.m3u8
常州生活,special,,http://223.110.235.18/ott.js.chinamobile.com/PLTV/3/224/3221227816/index.m3u8
